81,0.7748214,1,0,0
72,0.8049358,1,1,1
77,0.8982598,1,0,0
78,0.0238899,1,1,1
70,0.520668,1,1,1
80,0.9313111,1,1,1
72,0.8203656,1,0,0
71,0.1697278,1,1,1
72,0.8230395,1,0,0
74,0.6491474,1,1,1
71,0.8900627,1,0,0
78,0.8194889,1,0,0
73,0.8060316,1,0,0
72,0.0561522,1,1,1
77,0.9274536,1,1,1
83,0.6902643,1,0,0
79,0.7201157,1,1,1
71,0.8743699,1,0,0
76,0.844387,1,1,1
81,0.7845965,1,0,0
76,0.63946,1,0,0
90,0.7975715,1,0,0
74,0.924166,1,0,0
74,0.9753211,1,0,0
75,0.5714286,1,0,0
70,0.9004077,1,0,0
97,0.0120984,1,0,0
79,0.6930259,1,1,1
85,0.5225091,1,0,0
70,0.9765923,1,0,0
78,0.7920922,1,0,0
87,0.5725244,1,0,0
72,0.8833998,1,0,0
76,0.0774997,1,1,1
86,0.7604436,1,0,0
85,0.7052119,1,0,0
71,0.9384123,1,0,0
81,0.496033,1,1,1
83,0.0544426,1,1,1
77,0.9710691,1,0,0
86,0.3611537,1,0,0
77,0.6374874,1,1,1
79,0.965546,1,0,0
87,0.7935826,1,0,0
70,0.9247359,1,0,0
75,0.9910139,1,0,0
79,0.5584974,1,1,1
78,0.6596239,1,0,0
82,0.2595888,1,0,0
90,0.6455091,1,0,0
89,0.0355061,1,1,1
81,0.9487135,1,0,0
73,0.7114803,1,0,0
82,0.7590409,1,0,0
87,0.5092272,1,0,0
72,0.5136545,1,1,1
75,0.6765003,1,1,1
87,0.4240565,1,0,0
77,0.0002192,1,1,1
73,0.9922413,1,0,0
70,0.7211239,1,1,1
73,0.6975847,1,0,0
82,0.9360891,1,0,0
83,0.5031342,1,0,0
96,0.2745365,1,0,0
77,0.9318371,1,0,0
71,0.1527638,1,1,1
84,0.0842502,1,1,1
73,0.9292508,1,0,0
82,0.88546,1,1,1
92,0.0444045,1,0,0
90,0.4503573,1,0,0
78,0.7728488,1,0,0
85,0.3650112,1,0,0
75,0.3669837,1,0,0
88,0.9547188,1,0,0
70,0.960768,1,0,0
70,0.8447815,1,1,1
93,0.4987507,1,1,1
77,0.9952658,1,0,0
77,0.2760707,1,1,1
81,0.6854425,1,1,1
96,0.5544646,1,0,0
73,0.3516854,1,0,0
72,0.6712401,1,0,0
89,0.7909087,1,0,0
81,0.7032832,1,0,0
91,0.0409854,1,0,0
75,0.8820848,1,1,1
89,0.9243414,1,0,0
75,0.9659843,1,1,1
83,0.7454522,1,0,0
87,0.9127252,1,1,1
73,0.7965195,1,0,0
89,0.288958,1,1,1
74,0.9760224,1,0,0
74,0.7464604,1,0,0
74,0.9112348,1,0,0
72,0.8062947,1,0,0
79,0.8457897,1,1,1
84,0.2726077,1,1,1
73,0.4435629,1,0,0
80,0.9505545,1,0,0
74,0.7600052,1,1,1
70,0.8713891,1,0,0
80,0.7721913,1,0,0
75,0.2580546,1,1,1
